category,level,observer,rmse_pct,post_300s_rmse_pct,max_error_pct
initial_soc_error,-0.20,ekf,2.3342550983040904,1.5238453894029562,20.000000000000007
initial_soc_error,-0.20,ukf,1.5127268793158195,0.9686070436580729,20.000000000000007
initial_soc_error,-0.10,ekf,1.6338584683892377,1.089493573050156,9.999999999999998
initial_soc_error,-0.10,ukf,0.9135870933411429,0.7012499453231809,9.999999999999998
initial_soc_error,+0.00,ekf,0.9472022002113913,0.7385554180567125,2.356323164125518
initial_soc_error,+0.00,ukf,0.8564148061442293,0.688232563271996,2.729518660455621
initial_soc_error,+0.10,ekf,0.49929499339603395,0.36314701102977903,9.999999999999998
initial_soc_error,+0.10,ukf,0.8499210501197458,0.6594499561983153,9.999999999999998
initial_soc_error,+0.20,ekf,1.3515320983936214,0.5050307323879991,15.000000000000002
initial_soc_error,+0.20,ukf,0.5371521117852284,0.2779029835661826,15.000000000000002
measurement_noise,low,ekf,2.016078883628827,1.4453615691115314,9.999999999999998
measurement_noise,low,ukf,0.7976631688031477,0.6448361441841989,9.999999999999998
measurement_noise,nominal,ekf,1.6338584683892377,1.089493573050156,9.999999999999998
measurement_noise,nominal,ukf,0.9135870933411429,0.7012499453231809,9.999999999999998
measurement_noise,high,ekf,1.2343484076554416,0.8089037385396661,9.999999999999998
measurement_noise,high,ukf,0.7850378252022,0.5940913403279767,9.999999999999998
measurement_noise,severe,ekf,0.9223096325912327,0.6250207306147105,9.999999999999998
measurement_noise,severe,ukf,0.6804268180484675,0.511183069505266,9.999999999999998
parameter_uncertainty,"C=0.8,R=0.8",ekf,5.917867241669972,6.239150771635222,9.999999999999998
parameter_uncertainty,"C=0.8,R=0.8",ukf,5.95692447373842,6.248278615522445,10.587028876519621
parameter_uncertainty,"C=0.8,R=0.9",ekf,4.395634621134631,4.6782473481151685,9.999999999999998
parameter_uncertainty,"C=0.8,R=0.9",ukf,3.9912781776861537,4.28492108632532,9.999999999999998
parameter_uncertainty,"C=0.8,R=1.0",ekf,3.226070587926972,3.1533929267359095,9.999999999999998
parameter_uncertainty,"C=0.8,R=1.0",ukf,2.3453595719218607,2.468227285851444,9.999999999999998
parameter_uncertainty,"C=0.8,R=1.1",ekf,1.0604098591013809,0.7400127151803187,9.999999999999998
parameter_uncertainty,"C=0.8,R=1.1",ukf,2.1810857717134753,1.6547241421587606,9.999999999999998
parameter_uncertainty,"C=0.8,R=1.2",ekf,3.8322276327973226,3.639250948620913,9.999999999999998
parameter_uncertainty,"C=0.8,R=1.2",ukf,5.11428221592604,4.792225842179933,9.999999999999998
parameter_uncertainty,"C=0.9,R=0.8",ekf,4.846816421096792,5.009687710931347,9.999999999999998
parameter_uncertainty,"C=0.9,R=0.8",ukf,4.925382523295813,5.050502536796077,10.689871282937213
parameter_uncertainty,"C=0.9,R=0.9",ekf,3.2058422185559543,3.364625947443651,9.999999999999998
parameter_uncertainty,"C=0.9,R=0.9",ukf,2.8602794182727798,3.0139575413119157,9.999999999999998
parameter_uncertainty,"C=0.9,R=1.0",ekf,2.171188863628414,1.869822322111228,9.999999999999998
parameter_uncertainty,"C=0.9,R=1.0",ukf,1.3319973782058414,1.3090814561135622,9.999999999999998
parameter_uncertainty,"C=0.9,R=1.1",ekf,1.2057525779283835,0.9668150609480339,9.999999999999998
parameter_uncertainty,"C=0.9,R=1.1",ukf,2.820138260398951,2.53249802088331,9.999999999999998
parameter_uncertainty,"C=0.9,R=1.2",ekf,5.0798521297068095,5.1135743757276835,9.999999999999998
parameter_uncertainty,"C=0.9,R=1.2",ukf,6.187731556212938,6.089750317612391,9.999999999999998
parameter_uncertainty,"C=1.0,R=0.8",ekf,4.01225529002276,4.024484477102054,9.999999999999998
parameter_uncertainty,"C=1.0,R=0.8",ukf,4.121757066087766,4.08728610267976,10.76696102549045
parameter_uncertainty,"C=1.0,R=0.9",ekf,2.2553034756025765,2.295111491350306,9.999999999999998
parameter_uncertainty,"C=1.0,R=0.9",ukf,1.9796758529727947,1.9853091051970695,9.999999999999998
parameter_uncertainty,"C=1.0,R=1.0",ekf,1.5298007364616892,0.9539404932516307,9.999999999999998
parameter_uncertainty,"C=1.0,R=1.0",ukf,0.7034843964074189,0.4901566764477371,9.999999999999998
parameter_uncertainty,"C=1.0,R=1.1",ekf,2.1480655063911724,2.1637161864442795,9.999999999999998
parameter_uncertainty,"C=1.0,R=1.1",ukf,3.5689654867589535,3.4676748741043166,9.999999999999998
parameter_uncertainty,"C=1.0,R=1.2",ekf,6.183201191723873,6.381057964235286,9.999999999999998
parameter_uncertainty,"C=1.0,R=1.2",ukf,7.134580166795298,7.204190573448821,10.044234505818784
parameter_uncertainty,"C=1.1,R=0.8",ekf,3.3642843530407642,3.2276316644238676,9.999999999999998
parameter_uncertainty,"C=1.1,R=0.8",ukf,3.497939277200806,3.3050469911247515,10.82854350979513
parameter_uncertainty,"C=1.1,R=0.9",ekf,1.508707972784321,1.4161560582211958,9.999999999999998
parameter_uncertainty,"C=1.1,R=0.9",ukf,1.3376688744684724,1.1560238414880484,9.999999999999998
parameter_uncertainty,"C=1.1,R=1.0",ekf,1.3885950727178622,0.7756575709134559,9.999999999999998
parameter_uncertainty,"C=1.1,R=1.0",ukf,0.8093709392130145,0.6891506738260489,9.999999999999998
parameter_uncertainty,"C=1.1,R=1.1",ekf,3.032356277713424,3.181064158111651,9.999999999999998
parameter_uncertainty,"C=1.1,R=1.1",ukf,4.2655689362290765,4.297212966476955,9.999999999999998
parameter_uncertainty,"C=1.1,R=1.2",ekf,7.124371513000007,7.447946184573855,9.999999999999998
parameter_uncertainty,"C=1.1,R=1.2",ukf,7.946887332494759,8.14594208617657,10.61337537969912
parameter_uncertainty,"C=1.2,R=0.8",ekf,2.871143776924991,2.5843715661904594,9.999999999999998
parameter_uncertainty,"C=1.2,R=0.8",ukf,3.0222002298110042,2.6694761548709542,10.879630715297338
parameter_uncertainty,"C=1.2,R=0.9",ekf,0.9840763216576404,0.7112368325384532,9.999999999999998
parameter_uncertainty,"C=1.2,R=0.9",ukf,0.9940473251323665,0.5635950330754744,9.999999999999998
parameter_uncertainty,"C=1.2,R=1.0",ekf,1.637762265151768,1.2818009513638522,9.999999999999998
parameter_uncertainty,"C=1.2,R=1.0",ukf,1.2894578408183628,1.3092404316069746,9.999999999999998
parameter_uncertainty,"C=1.2,R=1.1",ekf,3.797138749025898,4.0402232892249295,9.999999999999998
parameter_uncertainty,"C=1.2,R=1.1",ukf,4.882316726764289,5.014524413606232,9.999999999999998
parameter_uncertainty,"C=1.2,R=1.2",ekf,7.925597459522329,8.349603000438991,10.17342910136627
parameter_uncertainty,"C=1.2,R=1.2",ukf,8.642001988122695,8.94437087024956,11.239440215530905
